id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46012196,Entire apartment for you | 1BR in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,245,91,0,,,88,365,0,
46012204,Entire apartment for you | Studio in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,217,91,0,,,88,365,0,
46013685,Entire apartment for you | Studio in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,221,91,0,,,88,365,0,
46027790,2bdrm near HST. corridor union mrkt. GALLAUDET unv,118525253,Soraya,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90595,-76.98555,Entire home/apt,180,1,13,2022-01-03,1.09,4,77,13,
46060536,Illinois Place,298644807,Djaima,,"Brightwood Park, Crestwood, Petworth",38.95335,-77.02613,Entire home/apt,200,1,0,,,3,111,0,
46094022,A small efficiency in a convenient location,58513354,Mohammad,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90423,-77.0268,Entire home/apt,58,1,0,,,1,0,0,
46099702,Entire apartment for you | 1BR in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,230,91,0,,,88,365,0,
46103215,A place of your own | 1BR in Washington,359230893,Casey,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90344,-77.01598,Entire home/apt,166,90,0,,,213,365,0,
46103290,Stay in a place of your own | 1BR in Washington,359230893,Casey,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87604,-77.01457,Entire home/apt,190,90,0,,,213,365,0,
46121101,Stay in a place of your own | 1BR in Washington,359230893,Casey,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87604,-77.01457,Entire home/apt,184,90,0,,,213,365,0,
46160181,2 Bedroom 1 Bath w/parking,21701933,Andy,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92108,-77.01071,Entire home/apt,229,2,9,2021-10-11,0.54,1,77,8,
46173650,Live + Work + Stay + Easy | 1BR in Washington,359230893,Casey,,"Near Southeast, Navy Yard",38.87961,-77.00557,Entire home/apt,166,90,0,,,213,365,0,
46191688,Condo+Loft 6 blocks from White House,169576592,Andrew,,"Dupont Circle, Connecticut Avenue/K Street",38.91239,-77.0413,Entire home/apt,2000,3,0,,,1,0,0,
46234631,Entire apartment for you | 2BR in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,304,91,0,,,88,365,0,
